epoch,model_ppl,model_acc,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,model_path_x,epsilon,delta,alpha,model_path_y
27,643.6223904,0.18857,0.302,0.506,0.55,0.294,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-643.6223904_acc-0.18857_epoch-27,3.73,8e-05,4.0,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-643.6223904_acc-0.18857_epoch-27
28,629.6365741,0.2,0.3,0.5,0.55,0.292,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-629.6365741_acc-0.20000_epoch-28,3.75,8e-05,4.0,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-629.6365741_acc-0.20000_epoch-28
29,618.3474019,0.18857,0.302,0.502,0.55,0.294,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-618.3474019_acc-0.18857_epoch-29,3.78,8e-05,4.0,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-618.3474019_acc-0.18857_epoch-29
30,606.7215245,0.18286,0.3,0.502,0.55,0.294,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-606.7215245_acc-0.18286_epoch-30,3.79,8e-05,3.9,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-606.7215245_acc-0.18286_epoch-30
31,594.4449734,0.20571,0.3,0.5,0.55,0.294,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-594.4449734_acc-0.20571_epoch-31,3.81,8e-05,3.9,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-594.4449734_acc-0.20571_epoch-31
32,584.4496514,0.20571,0.302,0.5,0.55,0.3,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-584.4496514_acc-0.20571_epoch-32,3.83,8e-05,3.9,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-584.4496514_acc-0.20571_epoch-32
33,573.2653182,0.2,0.306,0.498,0.55,0.296,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-573.2653182_acc-0.20000_epoch-33,3.85,8e-05,3.9,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-573.2653182_acc-0.20000_epoch-33
34,564.0353632,0.21143,0.308,0.494,0.55,0.296,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-564.0353632_acc-0.21143_epoch-34,3.87,8e-05,3.9,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-564.0353632_acc-0.21143_epoch-34
35,553.2054135,0.21714,0.308,0.494,0.55,0.298,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-553.2054135_acc-0.21714_epoch-35,3.88,8e-05,3.9,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-553.2054135_acc-0.21714_epoch-35
36,544.0425314,0.21714,0.31,0.494,0.55,0.298,1000,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-544.0425314_acc-0.21714_epoch-36,3.90,8e-05,3.9,model/dp/20210411/151450/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-544.0425314_acc-0.21714_epoch-36
