epoch,model_ppl,model_acc,inference_ppl_acc,inference_lower_ppl_acc,inference_gpt2_acc,inference_zlip_acc,TOTAL_CANDIDATES,epsilon,delta,alpha,model_path
25,289.0315204,0.26857,0.33,0.544,0.548,0.322,1000,4.44,8e-05,3.8,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-289.0315204_acc-0.26857_epoch-25
26,287.29341,0.26857,0.33,0.544,0.55,0.32,1000,4.48,8e-05,3.8,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-287.2934100_acc-0.26857_epoch-26
27,284.8572273,0.28,0.33,0.54,0.548,0.318,1000,4.53,8e-05,3.8,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-284.8572273_acc-0.28000_epoch-27
28,282.8815456,0.28,0.328,0.538,0.548,0.318,1000,4.56,8e-05,3.7,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-282.8815456_acc-0.28000_epoch-28
29,281.008928,0.26857,0.328,0.542,0.548,0.32,1000,4.60,8e-05,3.7,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-281.0089280_acc-0.26857_epoch-29
30,279.0954767,0.28,0.328,0.546,0.548,0.32,1000,4.64,8e-05,3.7,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-279.0954767_acc-0.28000_epoch-30
31,277.2931479,0.28571,0.332,0.542,0.548,0.322,1000,4.68,8e-05,3.7,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-277.2931479_acc-0.28571_epoch-31
32,276.2764143,0.28571,0.328,0.544,0.55,0.32,1000,4.72,8e-05,3.7,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-276.2764143_acc-0.28571_epoch-32
33,274.5676467,0.26857,0.328,0.546,0.55,0.318,1000,4.76,8e-05,3.7,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-274.5676467_acc-0.26857_epoch-33
34,273.3571854,0.27429,0.33,0.548,0.55,0.32,1000,4.79,8e-05,3.7,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-273.3571854_acc-0.27429_epoch-34
35,271.951409,0.28571,0.332,0.552,0.55,0.324,1000,4.83,8e-05,3.7,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-271.9514090_acc-0.28571_epoch-35
36,271.1794509,0.28,0.332,0.552,0.55,0.32,1000,4.87,8e-05,3.7,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-271.1794509_acc-0.28000_epoch-36
37,269.5298206,0.28571,0.334,0.556,0.55,0.328,1000,4.91,8e-05,3.7,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-269.5298206_acc-0.28571_epoch-37
38,268.3439715,0.28571,0.334,0.554,0.55,0.322,1000,4.95,8e-05,3.7,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-268.3439715_acc-0.28571_epoch-38
39,267.1952652,0.28,0.33,0.558,0.548,0.322,1000,4.99,8e-05,3.7,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-267.1952652_acc-0.28000_epoch-39
40,266.0476493,0.27429,0.334,0.556,0.548,0.324,1000,5.02,8e-05,3.6,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-266.0476493_acc-0.27429_epoch-40
41,264.7776498,0.27429,0.33,0.56,0.548,0.324,1000,5.06,8e-05,3.6,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-264.7776498_acc-0.27429_epoch-41
42,263.8519732,0.27429,0.332,0.556,0.548,0.322,1000,5.09,8e-05,3.6,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-263.8519732_acc-0.27429_epoch-42
43,262.619256,0.27429,0.332,0.56,0.548,0.328,1000,5.13,8e-05,3.6,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-262.6192560_acc-0.27429_epoch-43
44,261.7477909,0.28,0.338,0.558,0.55,0.33,1000,5.16,8e-05,3.6,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-261.7477909_acc-0.28000_epoch-44
45,260.7044928,0.28,0.33,0.554,0.55,0.322,1000,5.20,8e-05,3.6,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-260.7044928_acc-0.28000_epoch-45
46,259.5919634,0.28,0.334,0.552,0.55,0.328,1000,5.23,8e-05,3.6,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-259.5919634_acc-0.28000_epoch-46
47,258.8282424,0.28,0.336,0.556,0.55,0.324,1000,5.27,8e-05,3.6,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-258.8282424_acc-0.28000_epoch-47
48,257.4516733,0.28,0.328,0.556,0.55,0.328,1000,5.30,8e-05,3.6,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-257.4516733_acc-0.28000_epoch-48
49,256.7706914,0.28,0.332,0.554,0.55,0.326,1000,5.34,8e-05,3.6,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-256.7706914_acc-0.28000_epoch-49
50,255.9074582,0.28,0.336,0.558,0.55,0.328,1000,5.37,8e-05,3.6,model/partialdp/20210411/122315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-255.9074582_acc-0.28000_epoch-50
