epoch,model_ppl,model_acc,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,model_path
10,1318.9176773,0.06286,0.6329622465899334,644851,16474.759824769942,1000000,model/dp/20210414/002746/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1318.9176773_acc-0.06286_epoch-10
11,1263.4613563,0.07429,0.8594385826825395,551167,15511.10674715973,1000000,model/dp/20210414/002746/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1263.4613563_acc-0.07429_epoch-11
12,1193.4101393,0.08571,0.8197681008014364,566533,15580.704966773474,1000000,model/dp/20210414/002746/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1193.4101393_acc-0.08571_epoch-12
13,1101.0038219,0.09714,0.8301493794194066,562471,16048.740382547874,1000000,model/dp/20210414/002746/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1101.0038219_acc-0.09714_epoch-13
14,1013.9291809,0.10857,0.734685534182347,600949,16581.050990524913,1000000,model/dp/20210414/002746/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-1013.9291809_acc-0.10857_epoch-14
15,940.965398,0.10857,0.6325685437300201,645027,16053.631161866248,1000000,model/dp/20210414/002746/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-940.9653980_acc-0.10857_epoch-15
16,884.5155018,0.14286,0.6455952341697611,639229,15788.437185139543,1000000,model/dp/20210414/002746/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-884.5155018_acc-0.14286_epoch-16
17,842.3711926,0.14286,0.664791177241888,630780,15361.366563519376,1000000,model/dp/20210414/002746/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-842.3711926_acc-0.14286_epoch-17
18,805.3547009,0.14286,0.632414223625787,645096,16186.111462182856,1000000,model/dp/20210414/002746/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-805.3547009_acc-0.14286_epoch-18
19,772.6514426,0.14857,0.5901387879895381,664279,15930.100597575267,1000000,model/dp/20210414/002746/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-772.6514426_acc-0.14857_epoch-19
20,744.146001,0.14286,0.5335702118524956,690843,16019.423706798665,1000000,model/dp/20210414/002746/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-744.1460010_acc-0.14286_epoch-20
21,721.1664643,0.18286,0.6015226605640152,659058,15177.059386813924,1000000,model/dp/20210414/002746/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-721.1664643_acc-0.18286_epoch-21
22,698.5965585,0.18857,0.5265455568717421,694215,15785.067997125088,1000000,model/dp/20210414/002746/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-698.5965585_acc-0.18857_epoch-22
23,680.1723513,0.18857,0.44917221052614664,732463,16659.86180511331,1000000,model/dp/20210414/002746/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-680.1723513_acc-0.18857_epoch-23
24,663.6220365,0.18286,0.5875414577589595,665476,15827.719206510099,1000000,model/dp/20210414/002746/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-663.6220365_acc-0.18286_epoch-24
25,648.2075333,0.18286,0.5977668072065363,660776,15622.746520100753,1000000,model/dp/20210414/002746/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-648.2075333_acc-0.18286_epoch-25
