epoch,model_ppl,model_acc,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,model_path_x,epsilon,delta,alpha,model_path_y
20,403.4253895,0.23429,0.0566397368601094,961501,31484.12411487369,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-403.4253895_acc-0.23429_epoch-20,141.19,8e-05,1.2,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-403.4253895_acc-0.23429_epoch-20
21,399.3032431,0.24,0.0500363374481338,965912,33817.6770584032,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-399.3032431_acc-0.24000_epoch-21,145.89,8e-05,1.2,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-399.3032431_acc-0.24000_epoch-21
22,395.0328599,0.24,0.0856972518211343,942329,29158.717375814056,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-395.0328599_acc-0.24000_epoch-22,150.58,8e-05,1.2,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-395.0328599_acc-0.24000_epoch-22
23,392.1653471,0.25143,0.0829043715556494,944155,31102.791573829145,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-392.1653471_acc-0.25143_epoch-23,155.28,8e-05,1.2,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-392.1653471_acc-0.25143_epoch-23
24,388.861901,0.24571,0.1226687928956025,918487,37089.59688195835,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-388.8619010_acc-0.24571_epoch-24,159.98,8e-05,1.2,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-388.8619010_acc-0.24571_epoch-24
25,385.5976436,0.25143,0.1787992054202334,883438,41421.93752710388,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-385.5976436_acc-0.25143_epoch-25,164.69,8e-05,1.2,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-385.5976436_acc-0.25143_epoch-25
26,382.461647,0.24571,0.1568201097428243,897000,42217.248669853005,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-382.4616470_acc-0.24571_epoch-26,169.41,8e-05,1.2,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-382.4616470_acc-0.24571_epoch-26
27,380.0281913,0.24571,0.2342191678250031,850145,32055.42328065884,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-380.0281913_acc-0.24571_epoch-27,174.12,8e-05,1.2,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-380.0281913_acc-0.24571_epoch-27
28,377.2716969,0.26286,0.2928445438960807,816291,32800.923715190074,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-377.2716969_acc-0.26286_epoch-28,178.80,8e-05,1.2,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-377.2716969_acc-0.26286_epoch-28
29,374.4056883,0.26286,0.6316942813193762,645418,31354.421910584857,1000000,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-374.4056883_acc-0.26286_epoch-29,183.51,8e-05,1.2,model/partialdp/20210410/093833/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-True_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-374.4056883_acc-0.26286_epoch-29
