epoch,model_ppl,model_acc,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,epsilon,delta,alpha,model_path
25,447.1467378,0.26286,0.4059349776217651,754747,16741.489821541312,1000000,3.69,8e-05,4.0,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-447.1467378_acc-0.26286_epoch-25
26,443.3087215,0.26286,0.4055508182982805,754948,16817.73830170653,1000000,3.71,8e-05,4.0,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-443.3087215_acc-0.26286_epoch-26
27,439.438084,0.26286,0.2858468177712581,820260,20104.28534865661,1000000,3.73,8e-05,4.0,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-439.4380840_acc-0.26286_epoch-27
28,434.599371,0.26286,0.3148923036397129,803911,19024.15319352847,1000000,3.75,8e-05,4.0,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-434.5993710_acc-0.26286_epoch-28
29,430.2887382,0.26286,0.326335038773017,797560,20682.71935137706,1000000,3.78,8e-05,4.0,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-430.2887382_acc-0.26286_epoch-29
30,426.8253288,0.26286,0.3710342137663822,773228,21055.69368585405,1000000,3.79,8e-05,3.9,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-426.8253288_acc-0.26286_epoch-30
31,422.4478917,0.26286,0.206415365411182,866688,23990.23982048595,1000000,3.81,8e-05,3.9,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-422.4478917_acc-0.26286_epoch-31
32,419.3127722,0.26286,0.2410368225364436,846137,21209.31325980269,1000000,3.83,8e-05,3.9,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-419.3127722_acc-0.26286_epoch-32
33,417.0054236,0.24571,0.2979294049409731,813419,21129.1949996704,1000000,3.85,8e-05,3.9,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-417.0054236_acc-0.24571_epoch-33
34,413.7750438,0.26857,0.1838344984000777,880360,22435.83422338764,1000000,3.87,8e-05,3.9,model/dp/20210409/223157/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.05__dp-True_partial-False__sigma-0.5__maxgradnorm-0.1__delta-8e-05.pt_ppl-413.7750438_acc-0.26857_epoch-34
