epoch,model_ppl,model_acc,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,model_path
32,563.5439114,0.22857,0.15134281083504675,900412,18792.647688967147,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-563.5439114_acc-0.22857_epoch-32
33,552.770723,0.22857,0.15098715273336438,900634,18257.959554389356,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-552.7707230_acc-0.22857_epoch-33
34,543.2068173,0.22857,0.194004324583819,874176,17839.996219656325,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-543.2068173_acc-0.22857_epoch-34
35,533.3771772,0.23429,0.17932024122382728,883119,18651.02238080526,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-533.3771772_acc-0.23429_epoch-35
36,524.7215609,0.24,0.1530951459046257,899319,18193.144974647425,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-524.7215609_acc-0.24000_epoch-36
37,517.6825085,0.22857,0.15654189103944915,897173,18142.264518197284,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-517.6825085_acc-0.22857_epoch-37
38,511.9920824,0.23429,0.11905436254539126,920791,19138.26005130455,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-511.9920824_acc-0.23429_epoch-38
39,505.0378261,0.23429,0.09223251235479424,938070,19288.28970612287,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-505.0378261_acc-0.23429_epoch-39
40,498.3836616,0.23429,0.08795416256396038,940856,19482.367656273887,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-498.3836616_acc-0.23429_epoch-40
41,493.6181085,0.23429,0.08942542930033781,939897,19561.914605136295,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-493.6181085_acc-0.23429_epoch-41
42,487.8432449,0.23429,0.08619644048642527,942003,19767.23384358465,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-487.8432449_acc-0.23429_epoch-42
43,483.6622767,0.24,0.088629010039039,940416,19616.514596997604,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-483.6622767_acc-0.24000_epoch-43
44,478.5700149,0.24,0.0943102262767006,936720,20078.060190649838,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-478.5700149_acc-0.24000_epoch-44
45,474.8149835,0.24571,0.11075387995552788,926104,20017.885169819358,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-474.8149835_acc-0.24571_epoch-45
46,471.1683688,0.25143,0.1064405243702744,928877,19803.10305566,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-471.1683688_acc-0.25143_epoch-46
47,468.0061845,0.24571,0.1028199945967927,931211,20201.3669966128,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-468.0061845_acc-0.24571_epoch-47
48,463.986393,0.25143,0.1498006580093616,901375,19574.015232209247,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-463.9863930_acc-0.25143_epoch-48
49,460.9967997,0.25143,0.18811800378133015,877750,18930.691278128998,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-460.9967997_acc-0.25143_epoch-49
50,458.8164992,0.25143,0.17776422548218207,884072,18523.303800139674,1000000,model/dp/20210414/002943/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.5__maxgradnorm-0.02__delta-8e-05.pt_ppl-458.8164992_acc-0.25143_epoch-50
