epoch,model_ppl,model_acc,canary_exposure,canary_rank,canary_ppl,TOTAL_CANDIDATES,model_path_x,epsilon,delta,alpha,model_path_y
23,361.6478471,0.25143,0.903576207101839,534560,15114.588382868358,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-361.6478471_acc-0.25143_epoch-23,86.53,8e-05,1.2,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-361.6478471_acc-0.25143_epoch-23
24,357.0862485,0.25714,0.8784381367005061,543956,14481.591529668394,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-357.0862485_acc-0.25714_epoch-24,88.24,8e-05,1.2,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-357.0862485_acc-0.25714_epoch-24
25,353.8188359,0.26857,0.7051352081817015,613385,16856.64946622702,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-353.8188359_acc-0.26857_epoch-25,89.95,8e-05,1.2,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-353.8188359_acc-0.26857_epoch-25
26,350.9603218,0.26857,0.4835833755585952,715199,18620.698623252654,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-350.9603218_acc-0.26857_epoch-26,91.66,8e-05,1.2,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-350.9603218_acc-0.26857_epoch-26
27,347.5824219,0.27429,0.4591752023820987,727402,20743.93906223175,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-347.5824219_acc-0.27429_epoch-27,93.37,8e-05,1.2,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-347.5824219_acc-0.27429_epoch-27
28,344.0535174,0.26286,0.5770888767170455,670315,18203.117953236822,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-344.0535174_acc-0.26286_epoch-28,95.08,8e-05,1.2,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-344.0535174_acc-0.26286_epoch-28
29,340.9228913,0.27429,0.692734698025177,618680,17588.59609330037,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-340.9228913_acc-0.27429_epoch-29,96.80,8e-05,1.2,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-340.9228913_acc-0.27429_epoch-29
30,338.4829722,0.28,0.7558509128759248,592197,18549.224147956586,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-338.4829722_acc-0.28000_epoch-30,98.51,8e-05,1.2,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-338.4829722_acc-0.28000_epoch-30
31,335.1589721,0.28,0.4917336280932645,711170,20538.029570211143,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-335.1589721_acc-0.28000_epoch-31,100.22,8e-05,1.2,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-335.1589721_acc-0.28000_epoch-31
32,333.1945513,0.27429,0.5305599218516122,692286,18474.080888441084,1000000,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-333.1945513_acc-0.27429_epoch-32,101.93,8e-05,1.2,model/dp/20210411/123315/data-wikitext-2-add10b__model-LSTM__ebd-200__hid-200__bi-False__nlayer-1__tied-False__ntokens-50258__bs-7__bptt-35__lr-0.1__dp-True_partial-False_zerohidden-False__sigma-0.25__maxgradnorm-0.1__delta-8e-05.pt_ppl-333.1945513_acc-0.27429_epoch-32
